broker,test,qos,recv,latency_avg_ms,throughput_avg_msg_s,cpu_avg_percent,mem_avg_MB
rumqttd,p2p_qos1,1,807626,7.261827562716142,16152.52,108.61356164383561,802.1934426229509
rmqtt,fanin_qos1,1,1157855,6.581618528794105,23157.1,138.9897222222222,40.02333333333333
rmqtt,fanout_qos1,1,1167700,1.4223393018945818,23354.0,80.70486111111111,40.039722222222224
rmqtt,p2p_qos2,2,802641,10.126619517191367,16052.82,168.76736111111111,42.263333333333335
rmqtt,p2p_qos0,0,1158276,1.2151989794450253,23165.52,109.85164383561644,38.58945205479452
rmqtt,p2p_qos1,1,1157471,2.301438323646199,23149.42,157.48714285714286,41.52925170068028
nanomq,fanin_qos1,1,792935,126.40781742357538,15858.7,134.62972602739725,40.044548387096775
nanomq,fanout_qos1,1,1168173,2.1007892499685377,23363.46,89.0976551724138,4.109372413793103
nanomq,p2p_qos2,2,591738,19.060154823879387,11834.76,159.48041379310345,4.601164179104478
nanomq,p2p_qos0,0,1157409,1.329947127412485,23148.18,112.50797297297298,4.145597014925373
nanomq,p2p_qos1,1,1003149,11.382683171802828,20062.98,155.9695104895105,4.575939393939394
